Ville,Nombre de Salons,Population
yvetot,1,12123
triel-sur-seine,1,12108
saint-gaudens,1,12082
la queue-en-brie,2,12061
florange,1,12054
barentin,3,12034
fonsorbes,2,12015
vidauban,2,12011
la hague,1,11998
cogolin,3,11992
oissel,2,11981
marly,2,11977
ifs,1,11962
talant,1,11924
ploufragan,3,11898
andernos-les-bains,1,11897
aubergenville,2,11881
stiring-wendel,1,11742
vauvert,1,11742
obernai,2,11738
le relecq-kerhuon,2,11705
gisors,2,11704
la roche-sur-foron,2,11683
apt,2,11662
brignais,1,11610
sassenage,1,11577
longuenesse,1,11563
cuers,3,11557
bolbec,2,11553
saverne,1,11548
chevigny-saint-sauveur,1,11539
arcachon,1,11528
saint-junien,4,11475
mainvilliers,1,11462
voisins-le-bretonneux,1,11426
guebwiller,2,11414
gravelines,4,11386
saint-saulve,2,11353
passy,2,11319
oloron-sainte-marie,4,11305
craponne,3,11253
lavaur,1,11229
allonnes,1,11206
guilherand-granges,2,11204
juvignac,1,11203
le haillan,1,11197
panazol,1,11180
orthez,3,11106
riorges,2,11070
maromme,5,11045
wambrechies,2,11036
beaumont,2,11023
sainte-savine,2,11011
dourdan,1,10990
pornichet,1,10962
boulazac isle manoire,1,10932
valentigney,3,10889
tarare,1,10863
montlouis-sur-loire,1,10817
fondettes,1,10799
trets,2,10775
erstein,1,10754
saint-cyprien,2,10677
villebon-sur-yvette,1,10657
chantepie,1,10653
parthenay,1,10652
saint-claude,3,10623
limoux,3,10614
douchy-les-mines,2,10598
dinard,2,10572
cesson,1,10558
la chapelle-saint-mesmin,1,10550
la riche,2,10543
pont-saint-esprit,3,10519
wittelsheim,1,10517
villecresnes,2,10516
chassieu,1,10505
pont-audemer,2,10475
figeac,2,10473
mazamet,2,10463
chanteloup-les-vignes,1,10455
gerzat,1,10453
bernay,4,10443
le pradet,1,10415
ormesson-sur-marne,1,10406
neuville-en-ferrain,1,10350
aniche,1,10348
auchel,2,10344
marly,2,10342
fuveau,2,10338
carentan-les-marais,3,10306
chambly,2,10305
jeumont,1,10285
thorigny-sur-marne,1,10266
montigny-en-gohelle,2,10258
lescar,3,10225
tinqueux,3,10169
buxerolles,1,10165
nogent-le-rotrou,1,10156
ussel,3,10124
albert,1,10102
croissy-sur-seine,2,10101
brumath,1,10089
biot,2,10084
mios,2,10078
saint-max,2,10075
sainte-luce,1,10037
mouans-sartoux,2,10019
lillers,3,10014
blain,3,9963
dombasle-sur-meurthe,1,9926
saint-pierre-du-mont,1,9924
lambesc,2,9919
le beausset,1,9907
revel,3,9893
fouesnant,1,9887
pernes-les-fontaines,2,9883
arques,1,9882
divonne-les-bains,1,9878
carqueiranne,4,9868
foix,2,9863
villerupt,1,9843
grand-couronne,1,9842
portet-sur-garonne,1,9841
villeneuve-tolosane,2,9838
oignies,2,9817
merville,1,9811
redon,1,9810
petit-caux,1,9755
sallaumines,1,9752
charvieu-chavagneux,1,9740
grigny,3,9734
le passage,1,9732
coutances,2,9705
beaumont-sur-oise,1,9669
aizenay,1,9665
carmaux,2,9659
voreppe,1,9655
paray-le-monial,2,9639
saint-claude,3,9577
leers,1,9552
molsheim,1,9526
jarville-la-malgrange,1,9523
saint-esprit,1,9520
belley,1,9499
couzeix,1,9426
gignac-la-nerthe,1,9409
le portel,1,9343
crosne,2,9289
lorgues,1,9278
ouistreham,1,9229
vallet,1,9185
frouzins,1,9177
tomblaine,1,9164
monistrol-sur-loire,2,9138
lamorlaye,2,9117
veauche,1,9088
meulan-en-yvelines,2,9065
capbreton,3,9058
aulnoye-aymeries,1,9049
elne,3,9049
lillebonne,1,9046
le rheu,2,9027
chamonix-mont-blanc,1,8996
les hauts-d'anjou,1,8947
grenade,1,8946
saint-jean-le-blanc,2,8924
ville-la-grand,1,8919
mont-saint-martin,1,8917
borgo,2,8900
chaponost,1,8888
savenay,2,8856
saint-jean-de-monts,2,8843
bougival,1,8841
lempdes,1,8832
saint-vallier,2,8831
wingles,2,8830
petit-couronne,2,8809
scionzier,2,8794
nangis,2,8793
parempuyre,1,8789
beauchamp,1,8775
rouvroy,1,8775
rivesaltes,2,8773
guichen,1,8766
bellerive-sur-allier,2,8763
marguerittes,1,8744
irigny,1,8740
chantonnay,1,8732
gretz-armainvilliers,1,8719
pibrac,1,8712
saint-chamas,2,8699
unieux,1,8683
vif,1,8656
privas,2,8606
plabennec,1,8596
le grau-du-roi,2,8595
roussillon,1,8586
bihorel,1,8582
la fare-les-oliviers,2,8574
venelles,2,8568
bandol,1,8554
les angles,1,8551
larmor-plage,1,8539
harfleur,2,8514
breuillet,2,8513
boucau,2,8499
falaise,2,8491
poisy,1,8481
le plessis-bouchard,2,8477
linselles,1,8469
jarny,1,8468
lure,3,8409
aigues-mortes,2,8401
feurs,2,8364
le loroux-bottereau,3,8360
sautron,1,8350
champagnole,4,8346
marcoussis,1,8300
saint-renan,2,8299
la tour-du-pin,3,8286
brunstatt-didenheim,1,8220
bormes-les-mimosas,1,8218
puget-sur-argens,1,8218
les andelys,3,8199
carbon-blanc,1,8172
malemort,2,8151
saint-jean-de-maurienne,1,8146
langres,3,8146
guilers,2,8136
villars,1,8128
sorbiers,1,8103
saint-marcellin,2,8102
soustons,2,8068
lys-haut-layon,1,8066
digoin,2,8060
biguglia,1,8050
moirans,2,8014
epagny metz-tessy,3,8013
bouaye,1,7997
wintzenheim,1,7996
saint-pierre-en-auge,1,7986
gourbeyre,1,7979
cappelle-la-grande,2,7973
aureilhan,1,7967
la ricamarie,1,7955
trignac,2,7947
thann,1,7921
achicourt,1,7903
rethel,1,7895
marseillan,3,7888
saint-gilles-croix-de-vie,1,7879
meximieux,5,7871
faverges-seythenex,1,7856
isle,1,7842
le soler,3,7822
la ville-du-bois,1,7815
tullins,1,7801
rosporden,1,7791
seyssins,1,7791
beynes,1,7774
jaunay-marigny,2,7766
thuir,1,7765
wavrin,1,7744
auxonne,2,7708
barlin,1,7704
sisteron,2,7697
crozon,2,7697
ballancourt-sur-essonne,2,7696
saint-denis-en-val,2,7694
yssingeaux,2,7667
honfleur,1,7652
saint-berthevin,1,7585
bailly-romainvilliers,1,7582
corte,1,7563
nieppe,2,7559
coulaines,1,7548
lesneven,2,7539
waziers,2,7519
pontcharra,1,7514
paimpol,3,7508
beaugency,1,7483
cavalaire-sur-mer,4,7469
ruelle-sur-touvre,1,7406
beaufort-en-anjou,1,7383
bessancourt,2,7373
publier,1,7356
migennes,1,7354
ugine,1,7332
anse,2,7332
huningue,1,7326
auby,1,7315
houdain,1,7307
lagnieu,2,7289
saujon,2,7279
cassis,1,7250
morteau,1,7244
les trois-bassins,2,7234
bellegarde,1,7210
soultz-haut-rhin,1,7204
saint-yrieix-la-perche,2,7199
gueugnon,1,7196
montoir-de-bretagne,1,7166
chauvigny,1,7164
salles,1,7157
hasparren,1,7152
bouillante,1,7135
notre-dame-de-bondeville,1,7119
terville,1,7116
guipry-messac,1,7110
caussade,1,7104
loudun,1,7091
villemoisson-sur-orge,2,7084
brioude,5,7081
eu,2,7076
valognes,1,7070
aussonne,1,7057
chabeuil,3,7053
caudan,1,7035
gaillon,1,7022
saint-julien-de-concelles,1,7015
luxeuil-les-bains,3,7008
toulouges,3,7000
nyons,2,6980
feignies,2,6978
grenay,1,6972
entre-deux,1,6969
saint-flour,3,6947
herbignac,1,6946
divatte-sur-loire,2,6943
roquefort-les-pins,1,6942
liancourt,1,6941
gournay-sur-marne,2,6933
givet,2,6908
audun-le-tiche,1,6908
sainte-pazanne,1,6901
saint-bonnet-de-mure,1,6879
chaumes-en-retz,1,6868
balaruc-les-bains,2,6858
montfort-sur-meu,1,6823
avallon,3,6791
ploeren,1,6784
la tronche,1,6737
condom,1,6735
plouguerneau,2,6735
saint-jean-bonnefonds,1,6707
saint-pierre-en-faucigny,2,6704
vallons-de-l'erdre,1,6676
aubigny-les clouzeaux,1,6671
saint-laurent-blangy,1,6670
cambo-les-bains,1,6660
mourenx,1,6660
la plaine-des-palmistes,3,6659
laneuveville-devant-nancy,2,6651
itteville,1,6646
le blanc,4,6611
louhans,2,6569
ceyrat,1,6550
melle,3,6540
montauroux,2,6539
estaires,1,6538
meung-sur-loire,1,6533
gigean,2,6506
hombourg-haut,1,6499
la penne-sur-huveaune,1,6495
villers-saint-paul,1,6489
guer,3,6477
montech,1,6469
prades,1,6465
baud,1,6454
parentis-en-born,3,6442
ciboure,1,6430
commentry,2,6427
doullens,1,6412
entrelacs,1,6399
cognin,1,6381
revin,1,6379
la montagne,1,6379
mesnils-sur-iton,2,6374
pavilly,1,6364
corbie,1,6363
montdidier,2,6359
bon-encontre,2,6346
mer,2,6346
thyez,1,6346
marsillargues,1,6324
vendargues,1,6315
terrasson-lavilledieu,1,6308
lavelanet,1,6305
gignac,1,6303
puilboreau,2,6299
hersin-coupigny,1,6287
blanzy,1,6286
castries,1,6280
loon-plage,2,6269
gouesnou,1,6246
lezoux,1,6225
saint-marcel,1,6222
thoiry,1,6215
saint-alban-leysse,1,6213
vexin-sur-epte,2,6202
saint-genest-lerpt,1,6201
algrange,3,6200
aurec-sur-loire,1,6194
sains-en-gohelle,1,6183
gournay-en-bray,2,6169
vigneux-de-bretagne,1,6157
pierrefeu-du-var,4,6149
saint-arnoult-en-yvelines,1,6139
vaison-la-romaine,1,6137
elven,2,6137
mallemort,1,6132
gond-pontouvre,1,6124
nandy,1,6107
nogent-sur-seine,2,6097
montauban-de-bretagne,2,6082
combourg,1,6075
maule,2,6075
mutzig,1,6061
fontenilles,1,6059
le lavandou,1,6047
