Ville,Nombre de Salons,Population,Habitants par Salon
bonneville,2,13010,6505.0
riedisheim,1,12998,12998.0
amboise,1,12981,12981.0
mende,2,12967,6484.0
freyming-merlebach,2,12960,6480.0
aubenas,5,12933,2587.0
graulhet,1,12856,12856.0
roquebrune-cap-martin,1,12826,12826.0
bischwiller,1,12663,12663.0
raismes,2,12662,6331.0
claye-souilly,1,12631,12631.0
tarnos,4,12580,3145.0
moret-loing-et-orvanne,2,12552,6276.0
comines,1,12446,12446.0
le chambon-feugerolles,1,12408,12408.0
la motte-servolex,2,12390,6195.0
canet-en-roussillon,3,12376,4125.0
sarrebourg,3,12351,4117.0
rognac,1,12330,12330.0
chauny,1,12317,12317.0
bully-les-mines,3,12234,4078.0
issoudun,1,12199,12199.0
thiers,2,12169,6084.0
castelnaudary,2,12136,6068.0
provins,1,12125,12125.0
yvetot,1,12123,12123.0
triel-sur-seine,1,12108,12108.0
saint-gaudens,1,12082,12082.0
la queue-en-brie,2,12061,6030.0
florange,1,12054,12054.0
barentin,3,12034,4011.0
fonsorbes,2,12015,6008.0
vidauban,2,12011,6006.0
la hague,1,11998,11998.0
cogolin,3,11992,3997.0
oissel,2,11981,5990.0
marly,2,11977,5988.0
ifs,1,11962,11962.0
talant,1,11924,11924.0
ploufragan,3,11898,3966.0
andernos-les-bains,1,11897,11897.0
aubergenville,2,11881,5940.0
stiring-wendel,1,11742,11742.0
vauvert,1,11742,11742.0
obernai,2,11738,5869.0
le relecq-kerhuon,2,11705,5852.0
gisors,2,11704,5852.0
la roche-sur-foron,2,11683,5842.0
apt,2,11662,5831.0
brignais,1,11610,11610.0
sassenage,1,11577,11577.0
longuenesse,1,11563,11563.0
cuers,3,11557,3852.0
bolbec,2,11553,5776.0
saverne,1,11548,11548.0
chevigny-saint-sauveur,1,11539,11539.0
arcachon,1,11528,11528.0
saint-junien,4,11475,2869.0
mainvilliers,1,11462,11462.0
voisins-le-bretonneux,1,11426,11426.0
guebwiller,2,11414,5707.0
gravelines,4,11386,2846.0
saint-saulve,2,11353,5676.0
passy,2,11319,5660.0
oloron-sainte-marie,4,11305,2826.0
craponne,3,11253,3751.0
lavaur,1,11229,11229.0
allonnes,1,11206,11206.0
guilherand-granges,2,11204,5602.0
juvignac,1,11203,11203.0
le haillan,1,11197,11197.0
panazol,1,11180,11180.0
orthez,3,11106,3702.0
riorges,2,11070,5535.0
maromme,5,11045,2209.0
wambrechies,2,11036,5518.0
beaumont,2,11023,5512.0
sainte-savine,2,11011,5506.0
dourdan,1,10990,10990.0
pornichet,1,10962,10962.0
boulazac isle manoire,1,10932,10932.0
valentigney,3,10889,3630.0
tarare,1,10863,10863.0
montlouis-sur-loire,1,10817,10817.0
fondettes,1,10799,10799.0
trets,2,10775,5388.0
erstein,1,10754,10754.0
saint-cyprien,2,10677,5338.0
villebon-sur-yvette,1,10657,10657.0
chantepie,1,10653,10653.0
parthenay,1,10652,10652.0
saint-claude,3,10623,3541.0
limoux,3,10614,3538.0
douchy-les-mines,2,10598,5299.0
dinard,2,10572,5286.0
cesson,1,10558,10558.0
la chapelle-saint-mesmin,1,10550,10550.0
la riche,2,10543,5272.0
pont-saint-esprit,3,10519,3506.0
wittelsheim,1,10517,10517.0
villecresnes,2,10516,5258.0
chassieu,1,10505,10505.0
pont-audemer,2,10475,5238.0
figeac,2,10473,5236.0
mazamet,2,10463,5232.0
chanteloup-les-vignes,1,10455,10455.0
gerzat,1,10453,10453.0
bernay,4,10443,2611.0
le pradet,1,10415,10415.0
ormesson-sur-marne,1,10406,10406.0
neuville-en-ferrain,1,10350,10350.0
aniche,1,10348,10348.0
auchel,2,10344,5172.0
marly,2,10342,5171.0
fuveau,2,10338,5169.0
carentan-les-marais,3,10306,3435.0
chambly,2,10305,5152.0
jeumont,1,10285,10285.0
thorigny-sur-marne,1,10266,10266.0
montigny-en-gohelle,2,10258,5129.0
lescar,3,10225,3408.0
tinqueux,3,10169,3390.0
buxerolles,1,10165,10165.0
nogent-le-rotrou,1,10156,10156.0
ussel,3,10124,3375.0
albert,1,10102,10102.0
croissy-sur-seine,2,10101,5050.0
brumath,1,10089,10089.0
biot,2,10084,5042.0
mios,2,10078,5039.0
saint-max,2,10075,5038.0
sainte-luce,1,10037,10037.0
mouans-sartoux,2,10019,5010.0
lillers,3,10014,3338.0
blain,3,9963,3321.0
dombasle-sur-meurthe,1,9926,9926.0
saint-pierre-du-mont,1,9924,9924.0
lambesc,2,9919,4960.0
le beausset,1,9907,9907.0
revel,3,9893,3298.0
fouesnant,1,9887,9887.0
pernes-les-fontaines,2,9883,4942.0
arques,1,9882,9882.0
divonne-les-bains,1,9878,9878.0
carqueiranne,4,9868,2467.0
foix,2,9863,4932.0
villerupt,1,9843,9843.0
grand-couronne,1,9842,9842.0
portet-sur-garonne,1,9841,9841.0
villeneuve-tolosane,2,9838,4919.0
oignies,2,9817,4908.0
merville,1,9811,9811.0
redon,1,9810,9810.0
petit-caux,1,9755,9755.0
sallaumines,1,9752,9752.0
charvieu-chavagneux,1,9740,9740.0
grigny,3,9734,3245.0
le passage,1,9732,9732.0
coutances,2,9705,4852.0
beaumont-sur-oise,1,9669,9669.0
aizenay,1,9665,9665.0
carmaux,2,9659,4830.0
voreppe,1,9655,9655.0
paray-le-monial,2,9639,4820.0
saint-claude,3,9577,3192.0
leers,1,9552,9552.0
molsheim,1,9526,9526.0
jarville-la-malgrange,1,9523,9523.0
saint-esprit,1,9520,9520.0
belley,1,9499,9499.0
couzeix,1,9426,9426.0
gignac-la-nerthe,1,9409,9409.0
le portel,1,9343,9343.0
crosne,2,9289,4644.0
lorgues,1,9278,9278.0
ouistreham,1,9229,9229.0
vallet,1,9185,9185.0
frouzins,1,9177,9177.0
tomblaine,1,9164,9164.0
monistrol-sur-loire,2,9138,4569.0
lamorlaye,2,9117,4558.0
veauche,1,9088,9088.0
meulan-en-yvelines,2,9065,4532.0
capbreton,3,9058,3019.0
aulnoye-aymeries,1,9049,9049.0
elne,3,9049,3016.0
lillebonne,1,9046,9046.0
le rheu,2,9027,4514.0
chamonix-mont-blanc,1,8996,8996.0
les hauts-d'anjou,1,8947,8947.0
grenade,1,8946,8946.0
saint-jean-le-blanc,2,8924,4462.0
ville-la-grand,1,8919,8919.0
mont-saint-martin,1,8917,8917.0
borgo,2,8900,4450.0
chaponost,1,8888,8888.0
savenay,2,8856,4428.0
saint-jean-de-monts,2,8843,4422.0
bougival,1,8841,8841.0
lempdes,1,8832,8832.0
saint-vallier,2,8831,4416.0
wingles,2,8830,4415.0
petit-couronne,2,8809,4404.0
scionzier,2,8794,4397.0
nangis,2,8793,4396.0
parempuyre,1,8789,8789.0
beauchamp,1,8775,8775.0
rouvroy,1,8775,8775.0
rivesaltes,2,8773,4386.0
guichen,1,8766,8766.0
bellerive-sur-allier,2,8763,4382.0
marguerittes,1,8744,8744.0
irigny,1,8740,8740.0
chantonnay,1,8732,8732.0
gretz-armainvilliers,1,8719,8719.0
pibrac,1,8712,8712.0
saint-chamas,2,8699,4350.0
unieux,1,8683,8683.0
vif,1,8656,8656.0
privas,2,8606,4303.0
plabennec,1,8596,8596.0
le grau-du-roi,2,8595,4298.0
roussillon,1,8586,8586.0
bihorel,1,8582,8582.0
la fare-les-oliviers,2,8574,4287.0
venelles,2,8568,4284.0
bandol,1,8554,8554.0
les angles,1,8551,8551.0
larmor-plage,1,8539,8539.0
harfleur,2,8514,4257.0
breuillet,2,8513,4256.0
boucau,2,8499,4250.0
falaise,2,8491,4246.0
poisy,1,8481,8481.0
le plessis-bouchard,2,8477,4238.0
