Ville,Habitants par Salon
digoin,4030.0
anor,1634.0
morangis,198.0
morangis,6901.0
la roche-sur-foron,5842.0
mouchard,709.0
torigny-les-villes,2204.0
saulxures-sur-moselotte,1337.0
vacqueyras,669.0
montberon,1494.0
outreau,6798.0
mazamet,5232.0
divatte-sur-loire,3472.0
jussac,1046.0
thiers,6084.0
prayssac,1236.0
fleury-sur-andelle,932.0
mauguio,8550.0
ville,389.0
le moule,11194.0
longuyon,2690.0
coulommiers,7538.0
matignon,842.0
la motte-servolex,6195.0
noves,2983.0
baie-mahault,15702.0
eu,3538.0
dreux,15802.0
haguenau,17525.0
bogny-sur-meuse,2587.0
maubourguet,1204.0
mont-bernanchon,690.0
voiron,10302.0
saint-just-saint-rambert,7676.0
feignies,3489.0
ornans,2258.0
feurs,4182.0
balaruc-les-bains,3429.0
gournay-en-bray,3084.0
vesoul,7864.0
mougins,9932.0
la souterraine,2724.0
fuveau,5169.0
gimont,1541.0
angles,34.0
angles,1426.0
vitrolles,106.0
vitrolles,16825.0
guerlesquin,685.0
gigean,3253.0
caudry,7370.0
visan,1020.0
fonsorbes,6008.0
spycker,917.0
les monts d'aunay,2367.0
saint-ambroix,186.0
saint-ambroix,1600.0
sainte-suzanne,120.0
sainte-suzanne,776.0
sainte-suzanne,11852.0
arbois,1772.0
dinard,5286.0
ruoms,1140.0
labatut,88.0
labatut,726.0
labatut,88.0
lesneven,3770.0
saint-chamas,4350.0
montargis,7606.0
crozon,3848.0
le plessis-bouchard,4238.0
ballancourt-sur-essonne,3848.0
iffendic,2280.0
la possession,16687.0
aigues-mortes,4200.0
pont-audemer,5238.0
croissy-sur-seine,5050.0
montmoreau,1338.0
montauroux,3270.0
pouilly-sous-charlieu,1258.0
le lardin-saint-lazare,896.0
habas,764.0
sainte-maxime,7092.0
pamiers,8072.0
gournay-sur-marne,3466.0
trets,5388.0
moulins,38.0
moulins,10114.0
moulins,370.0
saint-nicolas,2394.0
fressenneville,1125.0
givet,3454.0
boucau,4250.0
mende,6484.0
usson-en-forez,754.0
castelnaudary,6068.0
vence,9384.0
lombron,966.0
lambesc,4960.0
thouars,7170.0
ressons-sur-matz,855.0
bellerive-sur-allier,4382.0
venelles,4284.0
pleubian,1182.0
gagny,19768.0
saint-saulve,5676.0
mouchamps,1465.0
bosroumois,1828.0
saint-renan,4150.0
le rheu,4514.0
burbure,1448.0
bons-en-chablais,2868.0
gisors,5852.0
villard-de-lans,2217.0
sevran,25600.0
mulsanne,2650.0
vrigne aux bois,1850.0
villers-bocage,1572.0
villers-bocage,738.0
libourne,12700.0
le trait,2494.0
challans,10659.0
frizon,261.0
sucy-en-brie,13354.0
plaisir,15904.0
mer,3173.0
chambly,5152.0
gruissan,2532.0
auxerre,17958.0
villeneuve-loubet,7712.0
savigny-sur-orge,18408.0
corbeil-essonnes,25786.0
moissac,6689.0
apt,5831.0
tassin-la-demi-lune,11346.0
tourcoing,49014.0
bauvin,2612.0
prahecq,1108.0
mesnils-sur-iton,3187.0
thonon-les-bains,17932.0
anzin,6700.0
la fare-les-oliviers,4287.0
raismes,6331.0
cabannes,2250.0
chagny,95.0
chagny,2808.0
septeuil,1186.0
nogent-sur-seine,3048.0
polliat,1286.0
loon-plage,3134.0
la grave,246.0
rabastens,2882.0
chauffailles,1888.0
charolles,1610.0
oignies,4908.0
la sentinelle,1576.0
vexin-sur-epte,3101.0
saint-ouen,1642.0
saint-ouen,959.0
meslay-du-maine,1472.0
douvrin,2724.0
cosnes-et-romain,1372.0
saint-brieuc,23003.0
val-cenis,1063.0
pont-saint-vincent,973.0
tremblay-en-france,18172.0
munchhouse,772.0
ollioules,6986.0
montigny-en-gohelle,5129.0
montrouge,25240.0
saint-sauveur-le-vicomte,1086.0
bonifacio,1586.0
saint-denis-en-val,3847.0
le grand-quevilly,12972.0
nogent-le-roi,2076.0
elven,3068.0
souchez,1266.0
rivesaltes,4386.0
petit-couronne,4404.0
waziers,3760.0
seissan,551.0
bonneville,6505.0
bonneville,169.0
beaumont,124.0
beaumont,60.0
beaumont,71.0
beaumont,149.0
beaumont,36.0
beaumont,5512.0
beaumont,1452.0
beaumont,321.0
saint-marcellin,4051.0
saint-jean-pied-de-port,925.0
pouilley-les-vignes,1002.0
auxonne,3854.0
saint-amant-tallende,890.0
gasny,1570.0
romorantin-lanthenay,9123.0
connaux,854.0
nouvion,671.0
bon-encontre,3173.0
conches-en-ouche,2548.0
hautmont,7338.0
fontenay-sous-bois,26709.0
wingles,4415.0
bart,1016.0
bray-dunes,2264.0
trignac,3974.0
lapalisse,1600.0
elbeuf,8154.0
guilherand-granges,5602.0
bernos-beaulac,564.0
duclair,2122.0
castelculier,1214.0
sierck-les-bains,884.0
flayosc,2198.0
nyons,3490.0
saint-martin-de-crau,6828.0
saint-gilles,6856.0
saint-gilles,2533.0
saint-gilles,56.0
saint-gilles,479.0
saint-gilles,148.0
saint-gilles,140.0
ouveillan,1256.0
bavans,1850.0
hazebrouck,11000.0
bouc-bel-air,7473.0
oissel,5990.0
