Ville,Nombre de Salons,Population
la motte-servolex,2,12390
noves,2,5966
baie-mahault,2,31404
eu,2,7076
dreux,2,31605
haguenau,2,35050
bogny-sur-meuse,2,5174
maubourguet,2,2408
mont-bernanchon,2,1381
voiron,2,20603
saint-just-saint-rambert,2,15353
feignies,2,6978
ornans,2,4517
feurs,2,8364
balaruc-les-bains,2,6858
gournay-en-bray,2,6169
vesoul,2,15728
mougins,2,19865
la souterraine,2,5448
fuveau,2,10338
gimont,2,3082
angles,2,68
angles,2,2852
vitrolles,2,212
vitrolles,2,33650
guerlesquin,2,1370
gigean,2,6506
caudry,2,14739
visan,2,2040
fonsorbes,2,12015
spycker,2,1834
les monts d'aunay,2,4734
saint-ambroix,2,373
saint-ambroix,2,3201
sainte-suzanne,2,241
sainte-suzanne,2,1551
sainte-suzanne,2,23704
arbois,2,3544
dinard,2,10572
ruoms,2,2281
labatut,2,177
labatut,2,1453
labatut,2,177
lesneven,2,7539
saint-chamas,2,8699
montargis,2,15212
crozon,2,7697
le plessis-bouchard,2,8477
ballancourt-sur-essonne,2,7696
iffendic,2,4561
la possession,2,33374
aigues-mortes,2,8401
pont-audemer,2,10475
croissy-sur-seine,2,10101
montmoreau,2,2677
montauroux,2,6539
pouilly-sous-charlieu,2,2516
le lardin-saint-lazare,2,1791
habas,2,1529
sainte-maxime,2,14183
pamiers,2,16145
gournay-sur-marne,2,6933
trets,2,10775
moulins,2,77
moulins,2,20227
moulins,2,740
saint-nicolas,2,4788
fressenneville,2,2250
givet,2,6908
boucau,2,8499
mende,2,12967
usson-en-forez,2,1507
castelnaudary,2,12136
vence,2,18769
lombron,2,1932
lambesc,2,9919
thouars,2,14341
ressons-sur-matz,2,1710
bellerive-sur-allier,2,8763
venelles,2,8568
pleubian,2,2364
gagny,2,39535
saint-saulve,2,11353
mouchamps,2,2930
bosroumois,2,3655
saint-renan,2,8299
le rheu,2,9027
burbure,2,2895
bons-en-chablais,2,5736
gisors,2,11704
villard-de-lans,2,4434
sevran,2,51201
mulsanne,2,5301
vrigne aux bois,2,3701
villers-bocage,2,3143
villers-bocage,2,1476
libourne,2,25400
le trait,2,4987
challans,2,21318
frizon,2,522
sucy-en-brie,2,26709
plaisir,2,31808
mer,2,6346
chambly,2,10305
gruissan,2,5063
auxerre,2,35916
villeneuve-loubet,2,15425
savigny-sur-orge,2,36817
corbeil-essonnes,2,51572
